"Id","Methodology version","Company id","Company","Assessment date","Publication date","Level","Notes","Q1L0|Does the company acknowledge climate change as a significant issue for the business?","Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?","Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?","Q4L2|Has the company set greenhouse gas emission reduction targets?","Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?","Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?","Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?","Q8L3|Does the company report on Scope 3 emissions?","Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?","Q10L3|Does the company support domestic and international efforts to mitigate climate change?","Q11L3|Does the company disclose its membership and involvement in trade associations engaged in climate issues?","Q12L3|Does the company have a process to manage climate-related risks?","Q13L3|Does the company disclose Scope 3 use of product emissions?","Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?","Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?","Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?","Q17L4|Does the company undertake climate scenario planning?","Q18L4|Does the company disclose an internal price of carbon?","Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?"
,"3","1198","Sumitomo Osaka Cement","27/10/2018","2020-02","1",,"Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1202","Taiheiyo Cement","25/03/2019","2020-02","1",,"Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Not applicable","Yes","No","No","No","No","No"
,"3","1209","Tenaris","25/04/2019","2020-02","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1292","UACJ","01/04/2019","2020-02","2",,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Not applicable","No","No","No","No","No","No"
,"3","1230","Voestalpine","27/04/2019","2020-02","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","Yes","Yes","No","Yes","No"
,"3","1497","Mitsui & Co","31/03/2019","2020-02","2",,"Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Not applicable","No","No","No","No","No","No"
,"3","1290","Norsk Hydro","23/04/2019","2020-02","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Not applicable","No","Yes","Yes","No","No","No"
,"3","1134","Nisshin Steel","16/04/2019","2020-02","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1183","Nippon Paper Industries","25/03/2019","2020-02","2",,"Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","Not applicable","No","No","No","No","No","No"
,"3","1289","Nippon Light Metal","21/04/2019","2020-02","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Not applicable","Yes","No","No","Yes","No","No"
,"3","1178","Nine Dragons Paper Industries","07/04/2019","2020-02","0",,"No","No","No","No","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1168","Lee & Man Paper Manufacturing","07/02/2019","2020-02","1",,"Yes","No","No","No","Yes","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1112","Kobe Steel","26/10/2018","2020-02","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1106","JFE Holdings","23/04/2019","2020-02","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Not applicable","Yes","No","No","No","No","No"
,"3","1144","Hokuetsu","14/04/2019","2020-02","1",,"Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1126","Daio Paper","26/04/2019","2020-02","1",,"Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","No","Not applicable","Yes","No","No","No","No","No"
,"3","1288","China Zhongwang","17/02/2019","2020-02","1",,"Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1024","China Resources Cement Holdings","26/10/2018","2020-02","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1022","China National Building Materials","25/10/2018","2020-02","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1287","Chalco","24/12/2018","2020-02","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","Not applicable","No","No","No","No","No","No"
,"3","1286","Alumina","23/04/2019","2020-02","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Not applicable","Yes","No","No","No","No","No"
