"Id","Eventable type","Eventable","Event type","Title","Description","Date","Url"
"665","Legislation","8882","Passed/Approved","Law passed","","03/10/2014",""
"664","Legislation","8789","Passed/Approved","Law passed","","17/04/2018",""
"663","Legislation","8787","Passed/Approved","Law passed","","01/11/2015",""
"662","Legislation","8785","Passed/Approved","Law passed","","01/08/2015",""
"661","Legislation","8779","Passed/Approved","Law passed","","25/12/2015",""
"660","Legislation","8773","Passed/Approved","Law passed","","25/02/2019",""
"659","Legislation","8771","Passed/Approved","Law passed","","07/12/2009",""
"658","Legislation","8746","Passed/Approved","Law passed","","30/05/2018",""
"657","Legislation","8743","Passed/Approved","Law passed","","30/07/2015",""
"656","Legislation","8736","Passed/Approved","Law passed","","01/06/2018",""
"655","Legislation","8731","Passed/Approved","Law passed","","20/02/2017",""
"654","Legislation","8729","Passed/Approved","Law passed","","25/12/2003",""
"653","Legislation","8730","Passed/Approved","Law passed","","25/12/2013",""
"652","Legislation","8716","Passed/Approved","Law passed","","02/08/2018",""
"651","Legislation","8711","Passed/Approved","Law passed","","10/07/2018",""
"650","Legislation","8700","Passed/Approved","Law passed","","25/12/2016",""
"649","Legislation","8699","Passed/Approved","Law passed","","27/07/2018",""
"648","Legislation","8690","Passed/Approved","Law passed","","16/06/2017",""
"647","Legislation","8691","Passed/Approved","Law passed","","05/04/2017",""
"646","Legislation","8689","Passed/Approved","Law passed","","16/06/2017",""
"645","Legislation","8686","Passed/Approved","Law passed","","12/10/2017",""
"644","Legislation","8650","Passed/Approved","Law passed","","27/07/2015",""
"643","Legislation","8649","Passed/Approved","Law passed","","01/05/2014",""
"642","Legislation","1312","Passed/Approved","Law passed","","19/11/2014",""
"641","Legislation","2004","Passed/Approved","Law passed","","16/06/2015",""
"640","Legislation","1385","Passed/Approved","Law passed","","08/03/2013",""
"639","Legislation","8646","Passed/Approved","Law passed","","01/04/2014",""
"638","Legislation","1020","Passed/Approved","Law passed","","01/02/2012",""
"637","Legislation","8598","Passed/Approved","Law passed","","29/12/2016",""
"636","Legislation","8596","Passed/Approved","Law passed","","22/10/2014",""
"635","Legislation","8595","Passed/Approved","Law passed","","08/12/2017",""
"634","Legislation","8571","Passed/Approved","Law passed","","11/12/2013",""
"633","Legislation","8570","Passed/Approved","Law passed","","20/11/2013",""
"632","Legislation","8569","Passed/Approved","Law passed","","15/01/2008",""
"631","Legislation","8567","Passed/Approved","Law passed","","25/01/2017",""
"630","Legislation","8566","Passed/Approved","Law passed","","25/11/2009",""
"629","Legislation","8672","Passed/Approved","Law passed","","01/05/2016",""
"628","Legislation","8653","Passed/Approved","Law passed","","01/11/2013",""
"627","Legislation","8423","Passed/Approved","Law passed","","25/12/2013",""
"626","Legislation","8655","Passed/Approved","Law passed","","01/01/2015",""
"625","Legislation","1019","Passed/Approved","Law passed","","17/08/2012",""
"624","Legislation","1560","Passed/Approved","Law passed","","29/10/2013",""
"623","Legislation","1017","Passed/Approved","Law passed","","14/06/2013",""
"622","Legislation","1380","Passed/Approved","Law passed","","25/12/1993",""
"621","Legislation","1379","Passed/Approved","Law passed","","25/12/1993",""
"620","Legislation","1519","Passed/Approved","Law passed","","25/12/2012",""
"619","Legislation","1518","Passed/Approved","Law passed","","25/12/2013",""
"618","Legislation","8108","Passed/Approved","Law passed","","25/12/2012",""
"617","Legislation","1105","Passed/Approved","Law passed","","07/04/2009",""
"616","Legislation","1378","Passed/Approved","Law passed","","25/12/2004",""
"615","Legislation","8644","Passed/Approved","Law passed","","02/02/2018",""
"614","Legislation","8279","Passed/Approved","Law passed","","12/06/2017",""
"613","Legislation","1574","Passed/Approved","Law passed","","24/03/2006",""
"612","Legislation","1568","Passed/Approved","Law passed","","12/03/2012",""
"611","Legislation","1389","Passed/Approved","Law passed","","25/12/2009",""
"610","Legislation","1388","Passed/Approved","Law passed","","25/03/2010",""
"609","Legislation","2033","Passed/Approved","Law passed","","16/03/2016",""
