"Id","Name","External url","Language","Last verified on","Documentable id","Documentable type"
"2830","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2016/20160208_3588_decision-1.pdf","Spanish","09/12/2019","7090","Litigation"
"2804","Court dismissal","https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?isOldUri=true&uri=CELEX:62007TO0193","English","11/04/2016","7120","Litigation"
"2802","Court dismissal","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A62007TO0197","English","11/04/2016","7122","Litigation"
"2720","petition","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2016/20161018_18-060499ASD-BORG03_petition.pdf","English","16/08/0018","7251","Litigation"
"2717","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2013/20130423_5082_petition.pdf","English","23/08/2017","7281","Litigation"
"2716","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2016/20160927_2016-QCA-242_decision-1.pdf","English","09/12/2019","7282","Litigation"
"2704","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2001/20010531_VCAT-922_decision-1.pdf","English","09/12/2019","7295","Litigation"
"2703","Decision","http://www.austlii.edu.au/au/cases/qld/QLRT/2007/33.html","English","09/12/2019","7296","Litigation"
"2695","Petition","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2016/20160314_OC-2317_petition.pdf","English","27/02/0018","7305","Litigation"
"2689","Complaint","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2018/20180723_NSD13332018_complaint-1.pdf","English","07/09/0018","7309","Litigation"
"2676","Legal briefing from plaintiffs","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2018/20180920_Not-Available_na-1.pdf","English","26/06/2019","7322","Litigation"
"2673","Judgment","http://curia.europa.eu/juris/document/document.jsf?text=climate&docid=199567&pageIndex=0&doclang=EN&mode=req&dir=&occ=first&part=1&cid=10369188#ctx1","English","09/12/2019","7325","Litigation"
